,Model name,Method,N,Test,Train,Train-Test
9,Ridge,best145_mutual_info_regression,145,0.08283262302577557,0.07613835347146033,-0.006694269554315235
72,Elastic Net,best145_mutual_info_regression,145,0.08297782590262257,0.07586137291869045,-0.007116452983932112
30,Lasso,best145_mutual_info_regression,145,0.08307025260471787,0.07566882675744124,-0.007401425847276627
132,Stack1,best35_mutual_info_regression,35,0.08331034112681752,0.04424796894795018,-0.03906237217886734
41,Lasso,all,190,0.08331427006763918,0.07579480100898042,-0.007519469058658759
20,Ridge,all,190,0.08335535571516421,0.07535841864847428,-0.007996937066689927
83,Elastic Net,all,190,0.0833992260703722,0.07556365619211067,-0.007835569878261534
8,Ridge,best120_mutual_info_regression,120,0.0837060909180356,0.0774841678343182,-0.006221923083717398
71,Elastic Net,best120_mutual_info_regression,120,0.0839353509444471,0.07702031861272222,-0.006915032331724871
29,Lasso,best120_mutual_info_regression,120,0.08397817716092482,0.07707874844760113,-0.006899428713323691
150,Stack2,best120_f_regression,120,0.0840984383215966,0.043970786382562695,-0.0401276519390339
7,Ridge,best80_mutual_info_regression,80,0.08420362249581373,0.07949353871156441,-0.004710083784249322
28,Lasso,best80_mutual_info_regression,80,0.08450387588235958,0.07953391260333423,-0.004969963279025352
90,XGB,best35_mutual_info_regression,35,0.08454976506840106,0.04557628987997673,-0.03897347518842433
70,Elastic Net,best80_mutual_info_regression,80,0.08458399549013142,0.07957542066039969,-0.0050085748297317295
153,Stack2,best35_mutual_info_regression,35,0.08461824498397627,0.04431778523892827,-0.040300459745048
48,SVR,best35_mutual_info_regression,35,0.08492156604584107,0.08049733193356869,-0.004424234112272385
111,LightGBM,best35_mutual_info_regression,35,0.0849667951972463,0.06352721128267047,-0.02143958391457583
87,XGB,best120_f_regression,120,0.08500393231585517,0.04415156930033524,-0.04085236301551993
129,Stack1,best120_f_regression,120,0.08600379964888431,0.04484119394445694,-0.041162605704427375
108,LightGBM,best120_f_regression,120,0.08603934604197941,0.06392262330356825,-0.022116722738411157
149,Stack2,best25_f_regression,80,0.0865814060736452,0.045234434125369524,-0.041346971948275676
86,XGB,best25_f_regression,80,0.08682913939392525,0.045275762486768525,-0.04155337690715673
128,Stack1,best25_f_regression,80,0.08700973085992143,0.04588150924227933,-0.041128221617642104
24,Lasso,best120_f_regression,120,0.08701115588819035,0.07908526383821239,-0.007925892049977956
66,Elastic Net,best120_f_regression,120,0.08701171816938721,0.07899051886081777,-0.00802119930856944
